Year,Countries,Economic Freedom Summary Index
2002,Indonesia,6.00
2001,Indonesia,5.78
2000,Indonesia,6.02
1995,Indonesia,6.24
1990,Indonesia,6.06
1985,Indonesia,5.99
1980,Indonesia,5.04
1975,Indonesia,4.93
1970,Indonesia,4.47
2018,Italy,7.51
2017,Italy,7.60
2016,Italy,7.66
2015,Italy,7.71
2014,Italy,7.68
2013,Italy,7.62
2012,Italy,7.61
2011,Italy,7.61
2010,Italy,7.57
2009,Italy,7.41
2008,Italy,7.47
2007,Italy,7.53
2006,Italy,7.56
2005,Italy,7.68
2004,Italy,7.67
2003,Italy,7.62
2002,Italy,7.71
2001,Italy,7.66
2000,Italy,7.75
1995,Italy,7.26
1990,Italy,6.92
1985,Italy,5.79
1980,Italy,5.54
1975,Italy,5.78
1970,Italy,6.17
2018,Japan,7.88
2017,Japan,7.86
2016,Japan,7.84
2015,Japan,7.85
2014,Japan,7.78
2013,Japan,7.81
2012,Japan,7.77
2011,Japan,7.71
2010,Japan,7.79
2009,Japan,7.72
2008,Japan,7.85
2007,Japan,7.97
2006,Japan,7.95
2005,Japan,7.99
2004,Japan,8.01
2003,Japan,8.03
2002,Japan,7.85
2001,Japan,7.87
2000,Japan,8.05
1995,Japan,7.67
1990,Japan,8.15
1985,Japan,7.80
1980,Japan,7.38
1975,Japan,7.17
1970,Japan,7.22
2018,South Korea,7.69
2017,South Korea,7.72
2016,South Korea,7.68
2015,South Korea,7.63
2014,South Korea,7.58
2013,South Korea,7.53
2012,South Korea,7.58
2011,South Korea,7.60
2010,South Korea,7.60
2009,South Korea,7.47
2008,South Korea,7.50
2007,South Korea,7.66
2006,South Korea,7.63
2005,South Korea,7.49
2004,South Korea,7.45
2003,South Korea,7.36
2002,South Korea,7.36
2001,South Korea,7.30
2000,South Korea,7.08
1995,South Korea,7.15
1990,South Korea,6.66
1985,South Korea,5.68
1980,South Korea,5.27
1975,South Korea,5.26
1970,South Korea,5.58
2018,Malaysia,7.58
2017,Malaysia,7.56
2016,Malaysia,7.52
2015,Malaysia,7.44
2014,Malaysia,7.36
2013,Malaysia,7.24
2012,Malaysia,6.63
2011,Malaysia,6.61
2010,Malaysia,6.57
2009,Malaysia,6.37
2008,Malaysia,6.47
2007,Malaysia,6.64
2006,Malaysia,6.54
2005,Malaysia,6.54
2004,Malaysia,6.26
2003,Malaysia,6.23
2002,Malaysia,6.18
2001,Malaysia,6.09
2000,Malaysia,6.49
1995,Malaysia,7.17
1990,Malaysia,7.27
1985,Malaysia,6.74
1980,Malaysia,6.55
1975,Malaysia,6.38
1970,Malaysia,6.26
2018,Mexico,7.21
2017,Mexico,7.16
2016,Mexico,6.98
2015,Mexico,7.07
2014,Mexico,7.00
2013,Mexico,6.91
2012,Mexico,6.82
2011,Mexico,6.75
2010,Mexico,6.80
2009,Mexico,6.66
2008,Mexico,6.72
2007,Mexico,6.82
2006,Mexico,6.89
2005,Mexico,6.90
2004,Mexico,6.86
2003,Mexico,6.71
2002,Mexico,6.71
2001,Mexico,6.62
2000,Mexico,6.63
1995,Mexico,6.55
1990,Mexico,5.95
1985,Mexico,4.68
1980,Mexico,5.21
1975,Mexico,6.49
1970,Mexico,6.54
2018,Philippines,7.43
2017,Philippines,7.39
2016,Philippines,7.40
2015,Philippines,7.49
2014,Philippines,7.43
2013,Philippines,7.50
2012,Philippines,7.25
2011,Philippines,7.22
2010,Philippines,7.16
2009,Philippines,6.88
2008,Philippines,6.92
2007,Philippines,7.03
2006,Philippines,7.05
2005,Philippines,7.01
2004,Philippines,7.00
2003,Philippines,7.19
2002,Philippines,7.13
2001,Philippines,7.03
2000,Philippines,7.08
1995,Philippines,7.24
1990,Philippines,6.23
1985,Philippines,5.03
1980,Philippines,5.16
1975,Philippines,4.86
1970,Philippines,5.15
2018,Russian Federation,6.74
2017,Russian Federation,6.75
2016,Russian Federation,6.70
2015,Russian Federation,6.54
2014,Russian Federation,6.52
2013,Russian Federation,6.55
2012,Russian Federation,6.60
2011,Russian Federation,6.51
2010,Russian Federation,6.48
2009,Russian Federation,6.32
2008,Russian Federation,6.40
2007,Russian Federation,6.35
2006,Russian Federation,6.11
2005,Russian Federation,6.05
2004,Russian Federation,6.11
2003,Russian Federation,5.77
2002,Russian Federation,5.71
2001,Russian Federation,5.29
2000,Russian Federation,5.23
1995,Russian Federation,4.55
1990,Russian Federation,3.28
1985,Russian Federation,3.60
1980,Russian Federation,3.35
1975,Russian Federation,3.38
1970,Russian Federation,
2018,Saudi Arabia,6.31
2017,Saudi Arabia,6.27
2016,Saudi Arabia,6.29
2015,Saudi Arabia,5.93
2014,Saudi Arabia,6.19
2013,Saudi Arabia,6.23
2012,Saudi Arabia,6.13
2011,Saudi Arabia,6.28
2010,Saudi Arabia,6.46
2009,Saudi Arabia,
2008,Saudi Arabia,
2007,Saudi Arabia,
2006,Saudi Arabia,
2005,Saudi Arabia,
2004,Saudi Arabia,
2003,Saudi Arabia,
2002,Saudi Arabia,
2001,Saudi Arabia,
2000,Saudi Arabia,
1995,Saudi Arabia,
1990,Saudi Arabia,
1985,Saudi Arabia,
1980,Saudi Arabia,
1975,Saudi Arabia,
1970,Saudi Arabia,
2018,Singapore,8.65
2017,Singapore,8.70
2016,Singapore,8.65
2015,Singapore,8.64
2014,Singapore,8.64
2013,Singapore,8.46
2012,Singapore,8.44
2011,Singapore,8.54
2010,Singapore,8.55
2009,Singapore,8.60
2008,Singapore,8.64
2007,Singapore,8.67
2006,Singapore,8.67
2005,Singapore,8.65
2004,Singapore,8.60
2003,Singapore,8.57
2002,Singapore,8.59
2001,Singapore,8.43
2000,Singapore,8.46
1995,Singapore,8.68
1990,Singapore,8.42
1985,Singapore,7.60
1980,Singapore,7.10
1975,Singapore,6.85
1970,Singapore,6.58
2018,South Africa,6.73
2017,South Africa,6.68
2016,South Africa,6.67
2015,South Africa,6.77
2014,South Africa,6.81
2013,South Africa,6.92
2012,South Africa,6.87
2011,South Africa,6.91
2010,South Africa,6.86
2009,South Africa,6.73
2008,South Africa,6.74
2007,South Africa,6.88
2006,South Africa,6.89
2005,South Africa,6.95
2004,South Africa,6.81
2003,South Africa,6.82
2002,South Africa,6.80
2001,South Africa,6.85
2000,South Africa,6.87
1995,South Africa,6.05
1990,South Africa,5.52
1985,South Africa,5.06
1980,South Africa,5.02
1975,South Africa,5.14
1970,South Africa,5.56
2018,Thailand,6.75
2017,Thailand,6.75
2016,Thailand,6.73
2015,Thailand,6.72
2014,Thailand,6.50
2013,Thailand,6.53
2012,Thailand,6.51
2011,Thailand,6.53
2010,Thailand,6.55
2009,Thailand,6.59
2008,Thailand,6.75
2007,Thailand,6.70
2006,Thailand,6.68
2005,Thailand,6.58
2004,Thailand,6.74
2003,Thailand,6.71
2002,Thailand,6.61
2001,Thailand,6.52
2000,Thailand,6.50
1995,Thailand,7.15
1990,Thailand,6.56
1985,Thailand,5.72
1980,Thailand,5.49
1975,Thailand,5.69
1970,Thailand,5.84
2018,Turkey,6.62
2017,Turkey,6.73
2016,Turkey,6.91
2015,Turkey,6.94
2014,Turkey,6.95
2013,Turkey,6.92
2012,Turkey,7.03
2011,Turkey,7.08
2010,Turkey,6.96
2009,Turkey,6.88
2008,Turkey,6.99
2007,Turkey,6.53
2006,Turkey,6.40
2005,Turkey,6.37
2004,Turkey,6.19
2003,Turkey,6.08
2002,Turkey,5.79
2001,Turkey,5.54
2000,Turkey,5.58
1995,Turkey,5.86
1990,Turkey,5.22
1985,Turkey,4.78
1980,Turkey,3.61
1975,Turkey,4.40
1970,Turkey,3.96
2018,United Kingdom,8.08
2017,United Kingdom,8.16
2016,United Kingdom,8.15
2015,United Kingdom,8.16
2014,United Kingdom,8.07
2013,United Kingdom,8.01
2012,United Kingdom,8.10
2011,United Kingdom,8.04
2010,United Kingdom,8.05
2009,United Kingdom,8.02
2008,United Kingdom,8.13
2007,United Kingdom,8.25
2006,United Kingdom,8.31
2005,United Kingdom,8.35
2004,United Kingdom,8.37
2003,United Kingdom,8.46
2002,United Kingdom,8.47
2001,United Kingdom,8.42
2000,United Kingdom,8.52
1995,United Kingdom,8.29
1990,United Kingdom,8.40
1985,United Kingdom,8.21
1980,United Kingdom,7.01
1975,United Kingdom,6.16
1970,United Kingdom,5.99
2018,United States,8.22
2017,United States,8.34
2016,United States,8.32
2015,United States,8.27
2014,United States,8.16
2013,United States,8.07
2012,United States,8.15
2011,United States,8.07
2010,United States,8.12
2009,United States,8.03
2008,United States,8.34
2007,United States,8.53
2006,United States,8.49
2005,United States,8.49
2004,United States,8.61
2003,United States,8.59
2002,United States,8.59
2001,United States,8.52
2000,United States,8.67
1995,United States,8.58
1990,United States,8.56
1985,United States,8.42
1980,United States,8.13
1975,United States,7.95
1970,United States,7.55
2018,Vietnam,6.20
2017,Vietnam,6.16
2016,Vietnam,6.16
2015,Vietnam,6.04
2014,Vietnam,6.03
2013,Vietnam,6.02
2012,Vietnam,5.92
2011,Vietnam,5.90
2010,Vietnam,5.96
2009,Vietnam,5.97
2008,Vietnam,5.84
2007,Vietnam,5.94
2006,Vietnam,5.96
2005,Vietnam,5.86
2004,Vietnam,5.83
2003,Vietnam,5.49
2002,Vietnam,
2001,Vietnam,
2000,Vietnam,5.56
1995,Vietnam,
1990,Vietnam,
1985,Vietnam,
1980,Vietnam,
1975,Vietnam,
1970,Vietnam,
